N,Verteilung_X,Parameter,Avg_Skewness,Avg_Kurtosis,Bias_OLS,Bias_ICA,RMSE_OLS,RMSE_ICA
4000,f,"{'dfnum': 5, 'dfden': 2}",39.6755,1940.6612,0.0001,0.0,0.0003,0.0002
4000,chisquare,{'df': 1},1.8455,6.6715,0.3057,0.0011,0.3062,0.0175
4000,laplace,{'scale': 1.0},0.0041,1.714,0.3041,0.0024,0.3043,0.0466
4000,weibull,{'a': 0.5},6.2357,73.6633,0.0386,-0.0032,0.0391,0.029
5000,gamma,"{'shape': 1.0, 'scale': 1.0}",0.9421,2.1745,0.488,-0.0068,0.4882,0.0384
5000,gamma,"{'shape': 5.0, 'scale': 1.0}",0.7487,0.9583,0.1428,-0.0151,0.1429,0.0831
5000,exponential,{'scale': 1.0},0.9421,2.1745,0.488,-0.0065,0.4882,0.0388
5000,beta,"{'a': 0.5, 'b': 0.5}",-0.0061,-0.0338,1.0459,-0.0011,1.0459,0.054
5000,f,"{'dfnum': 5, 'dfden': 2}",47.3317,2707.1585,0.0001,-0.0002,0.0002,0.0018
5000,chisquare,{'df': 1},1.8749,7.0715,0.3044,0.0012,0.3047,0.0142
5000,laplace,{'scale': 1.0},-0.0162,1.7846,0.3034,-0.0118,0.3035,0.1439
5000,weibull,{'a': 0.5},6.1279,70.4224,0.0388,-0.0007,0.0391,0.0041
6000,gamma,"{'shape': 1.0, 'scale': 1.0}",0.9513,2.2262,0.4882,0.0013,0.4885,0.0324
6000,gamma,"{'shape': 5.0, 'scale': 1.0}",0.7495,0.9587,0.142,-0.0061,0.1421,0.0482
6000,exponential,{'scale': 1.0},0.9513,2.2262,0.4882,0.0011,0.4885,0.0324
6000,beta,"{'a': 0.5, 'b': 0.5}",-0.003,-0.0504,1.045,0.0029,1.045,0.0547
6000,f,"{'dfnum': 5, 'dfden': 2}",48.7743,2992.7219,0.0001,0.0,0.0002,0.0002
6000,chisquare,{'df': 1},1.8818,7.1126,0.3019,-0.0451,0.3021,0.2846
6000,laplace,{'scale': 1.0},0.0019,1.7261,0.303,-0.0021,0.3031,0.0212
6000,weibull,{'a': 0.5},6.178,71.8798,0.0391,0.0,0.0395,0.0038
7000,gamma,"{'shape': 1.0, 'scale': 1.0}",0.9402,2.1827,0.4894,-0.0531,0.4896,0.4811
7000,gamma,"{'shape': 5.0, 'scale': 1.0}",0.7479,0.9535,0.1405,-0.0032,0.1406,0.0576
7000,exponential,{'scale': 1.0},0.9402,2.1827,0.4894,0.0018,0.4896,0.0609
7000,beta,"{'a': 0.5, 'b': 0.5}",0.001,-0.0386,1.0452,0.0007,1.0452,0.0454
7000,f,"{'dfnum': 5, 'dfden': 2}",51.4919,3279.7742,0.0001,-0.0001,0.0001,0.0007
7000,chisquare,{'df': 1},1.8468,6.6716,0.3027,0.0023,0.3029,0.0451
7000,laplace,{'scale': 1.0},0.0001,1.7054,0.303,0.0022,0.3031,0.0185
7000,weibull,{'a': 0.5},6.1487,73.1394,0.0393,-0.001,0.0396,0.0307
8000,gamma,"{'shape': 1.0, 'scale': 1.0}",0.952,2.2252,0.4878,0.0027,0.4879,0.0267
8000,gamma,"{'shape': 5.0, 'scale': 1.0}",0.749,0.9413,0.1418,0.0027,0.1418,0.0405
8000,exponential,{'scale': 1.0},0.952,2.2252,0.4878,0.0024,0.4879,0.0272
8000,beta,"{'a': 0.5, 'b': 0.5}",-0.0037,-0.0429,1.0463,0.0019,1.0463,0.0969
8000,f,"{'dfnum': 5, 'dfden': 2}",52.4743,3449.515,0.0001,0.0,0.0002,0.0004
8000,chisquare,{'df': 1},1.8642,6.803,0.3024,-0.001,0.3027,0.0138
8000,laplace,{'scale': 1.0},0.0087,1.7178,0.3034,0.0062,0.3035,0.0469
8000,weibull,{'a': 0.5},6.0869,70.4901,0.0391,-0.0024,0.0393,0.0251
9000,gamma,"{'shape': 1.0, 'scale': 1.0}",0.9544,2.2237,0.487,-0.0314,0.4871,0.3468
9000,gamma,"{'shape': 5.0, 'scale': 1.0}",0.7472,0.9458,0.1412,-0.0108,0.1413,0.0491
9000,exponential,{'scale': 1.0},0.9544,2.2237,0.487,0.0034,0.4871,0.0264
9000,beta,"{'a': 0.5, 'b': 0.5}",0.0003,-0.0416,1.0459,-0.0055,1.0459,0.0434
9000,f,"{'dfnum': 5, 'dfden': 2}",58.5668,4304.5064,0.0001,0.0,0.0002,0.0001
9000,chisquare,{'df': 1},1.8597,6.7783,0.3033,-0.0006,0.3034,0.0115
9000,laplace,{'scale': 1.0},0.0023,1.7189,0.302,0.0019,0.3021,0.0158
9000,weibull,{'a': 0.5},6.1912,74.2459,0.0391,0.0022,0.0393,0.0197
10000,gamma,"{'shape': 1.0, 'scale': 1.0}",0.9524,2.2517,0.4879,-0.0214,0.488,0.3396
10000,gamma,"{'shape': 5.0, 'scale': 1.0}",0.7416,0.9204,0.1412,-0.004,0.1413,0.0481
10000,exponential,{'scale': 1.0},0.9524,2.2517,0.4879,0.0012,0.488,0.0226
10000,beta,"{'a': 0.5, 'b': 0.5}",0.0024,-0.0391,1.0458,0.0018,1.0458,0.0374
10000,f,"{'dfnum': 5, 'dfden': 2}",65.1357,5174.1733,0.0001,0.0,0.0001,0.0012
10000,chisquare,{'df': 1},1.8492,6.6428,0.3037,-0.0154,0.3038,0.1554
10000,laplace,{'scale': 1.0},0.0011,1.725,0.302,-0.0017,0.302,0.0122
10000,weibull,{'a': 0.5},6.3221,79.8308,0.0391,0.0022,0.0393,0.0187
