N,Rho,Verteilung_X,Parameter,Avg_Skewness,Bias_OLS,Bias_ICA,RMSE_OLS,RMSE_ICA
100,0.3,lognormal,"{'mean': 0.0, 'sigma': 0.75}",2.0846,0.2387,0.0113,0.2639,0.3303
100,0.3,lognormal,"{'mean': 0.0, 'sigma': 0.5}",1.0619,0.6791,0.0376,0.7008,3.6368
100,0.3,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.1918,1.8923,0.6247,1.9015,216.5724
100,0.3,t,{'df': 3},-0.0492,0.1173,0.012,0.138,399.1491
100,0.3,t,{'df': 4},-0.0493,0.1498,0.02,0.1706,7.4509
100,0.3,t,{'df': 5},-0.0251,0.1752,0.0404,0.1947,19.9092
100,0.3,t,{'df': 6},-0.0049,0.194,0.0743,0.2124,517.8667
100,0.4,beta,"{'a': 0.5, 'b': 0.5}",-0.0036,1.3956,-0.0054,1.3995,0.4855
100,0.4,beta,"{'a': 1.0, 'b': 1.0}",-0.0226,1.6393,0.047,1.6423,3.2392
100,0.4,beta,"{'a': 2.0, 'b': 2.0}",-0.0116,1.9011,0.5991,1.9037,5.4929
100,0.4,beta,"{'a': 4.0, 'b': 4.0}",-0.0012,2.1319,1.9608,2.1337,9.4755
100,0.4,chisquare,{'df': 2},1.6898,0.0958,-0.0076,0.1111,0.3627
100,0.4,chisquare,{'df': 8},0.9247,0.0246,-0.0088,0.0354,11.1787
100,0.4,chisquare,{'df': 14},0.7181,0.0138,-0.0009,0.0234,1.1823
100,0.4,chisquare,{'df': 20},0.6051,0.0098,0.0062,0.0187,3.8654
100,0.4,gamma,"{'shape': 1.0, 'scale': 0.5}",0.8521,0.9736,-0.0144,0.9935,2.0708
100,0.4,gamma,"{'shape': 1.0, 'scale': 2.0}",1.6898,0.0958,-0.0043,0.1111,0.3667
100,0.4,gamma,"{'shape': 2.0, 'scale': 4.0}",1.3046,0.0116,-0.0037,0.0218,0.1095
100,0.4,gamma,"{'shape': 4.0, 'scale': 2.0}",0.9247,0.0246,-0.0059,0.0354,10.1705
100,0.4,lognormal,"{'mean': 0.0, 'sigma': 1.0}",2.9589,0.1116,0.0073,0.1328,0.1335
100,0.4,lognormal,"{'mean': 0.0, 'sigma': 0.75}",1.9345,0.3007,0.0107,0.3234,0.3469
100,0.4,lognormal,"{'mean': 0.0, 'sigma': 0.5}",0.857,0.7799,0.05,0.7962,4.0175
